NPC Profile,Count
"Does not own a cat, does not plan to get a new cat, cares about the cat breed, is not well-informed on animal welfare, has a monthly income above 20,000 HKD",43195.0
"Does not own a cat, does not plan to get a new cat, cares about the cat breed, is not well-informed on animal welfare, has a monthly income below 20,000 HKD",42755.0
"Does not own a cat, does not plan to get a new cat, cares about the cat breed, is well-informed on animal welfare, has a monthly income above 20,000 HKD",18529.0
"Does not own a cat, does not plan to get a new cat, cares about the cat breed, is well-informed on animal welfare, has a monthly income below 20,000 HKD",18503.0
"Does not own a cat, does not plan to get a new cat, does not care about the cat breed, is not well-informed on animal welfare, has a monthly income above 20,000 HKD",14394.0
"Does not own a cat, does not plan to get a new cat, does not care about the cat breed, is not well-informed on animal welfare, has a monthly income below 20,000 HKD",14353.0
"Does not own a cat, does not plan to get a new cat, does not care about the cat breed, is well-informed on animal welfare, has a monthly income above 20,000 HKD",6111.0
"Does not own a cat, does not plan to get a new cat, does not care about the cat breed, is well-informed on animal welfare, has a monthly income below 20,000 HKD",6171.0
"Does not own a cat, plans to get a new cat, cares about the cat breed, is not well-informed on animal welfare, has a monthly income above 20,000 HKD",14305.0
"Does not own a cat, plans to get a new cat, cares about the cat breed, is not well-informed on animal welfare, has a monthly income below 20,000 HKD",14344.0
"Does not own a cat, plans to get a new cat, cares about the cat breed, is well-informed on animal welfare, has a monthly income above 20,000 HKD",6197.0
"Does not own a cat, plans to get a new cat, cares about the cat breed, is well-informed on animal welfare, has a monthly income below 20,000 HKD",6034.0
"Does not own a cat, plans to get a new cat, does not care about the cat breed, is not well-informed on animal welfare, has a monthly income above 20,000 HKD",4782.0
"Does not own a cat, plans to get a new cat, does not care about the cat breed, is not well-informed on animal welfare, has a monthly income below 20,000 HKD",4658.0
"Does not own a cat, plans to get a new cat, does not care about the cat breed, is well-informed on animal welfare, has a monthly income above 20,000 HKD",1996.0
"Does not own a cat, plans to get a new cat, does not care about the cat breed, is well-informed on animal welfare, has a monthly income below 20,000 HKD",2009.0
"Owns a cat, is a new cat owner, cares about the cat breed, is not well-informed on animal welfare, has a monthly income above 20,000 HKD",355.0
"Owns a cat, is a new cat owner, cares about the cat breed, is not well-informed on animal welfare, has a monthly income below 20,000 HKD",367.0
"Owns a cat, is a new cat owner, cares about the cat breed, is well-informed on animal welfare, has a monthly income above 20,000 HKD",118.0
"Owns a cat, is a new cat owner, cares about the cat breed, is well-informed on animal welfare, has a monthly income below 20,000 HKD",148.0
"Owns a cat, is a new cat owner, does not care about the cat breed, is not well-informed on animal welfare, has a monthly income above 20,000 HKD",106.0
"Owns a cat, is a new cat owner, does not care about the cat breed, is not well-informed on animal welfare, has a monthly income below 20,000 HKD",109.0
"Owns a cat, is a new cat owner, does not care about the cat breed, is well-informed on animal welfare, has a monthly income above 20,000 HKD",42.0
"Owns a cat, is a new cat owner, does not care about the cat breed, is well-informed on animal welfare, has a monthly income below 20,000 HKD",50.0
"Owns a cat, is an experienced cat owner, cares about the cat breed, is not well-informed on animal welfare, has a monthly income above 20,000 HKD",5353.0
"Owns a cat, is an experienced cat owner, cares about the cat breed, is not well-informed on animal welfare, has a monthly income below 20,000 HKD",5299.0
"Owns a cat, is an experienced cat owner, cares about the cat breed, is well-informed on animal welfare, has a monthly income above 20,000 HKD",2233.0
"Owns a cat, is an experienced cat owner, cares about the cat breed, is well-informed on animal welfare, has a monthly income below 20,000 HKD",2280.0
"Owns a cat, is an experienced cat owner, does not care about the cat breed, is not well-informed on animal welfare, has a monthly income above 20,000 HKD",1812.0
"Owns a cat, is an experienced cat owner, does not care about the cat breed, is not well-informed on animal welfare, has a monthly income below 20,000 HKD",1838.0
"Owns a cat, is an experienced cat owner, does not care about the cat breed, is well-informed on animal welfare, has a monthly income above 20,000 HKD",802.0
"Owns a cat, is an experienced cat owner, does not care about the cat breed, is well-informed on animal welfare, has a monthly income below 20,000 HKD",752.0
